"idRefaccion","idClasificacion","pieza","modelo","unidad","costo","ultimo_costo","inventario_inicial","inventario_actual","equipo_armado_refacciones","inventario_fisico","faltante","rutaImagen","notas","estado","codigo","nombreCorto"
48,40,TEMPORIZADOR 24V - TIMER DIGITAL,CN 101A,"1",,,,,,,,,CN 101A SMALL MICROCUMPUTER TIME CONTRL SWITCH POWER SUPPLY DIGITAL TIMER 24V,0,"002-001",
49,0,CABLE AWG 28,,metro,,,,,,,,,,0,,
50,4,SWITCH 2 POSICIONES 16A,,"1",,,,,,,,,"250V AC 16A 2 Position ON/OFF KCD1 Boat Rocker Switch",0,"002-027",
51,6,TORNILLO BOTON ALLEN INOX METRICA M3X6,M3,pieza,,,,,,,,,,0,,
52,0,CONTROLADOR ELECTRONICO NIVEL DE AGUA,,pieza,,,,,,,,,CASE,0,,
53,13,TANQUE PRESURIZADO 75 LITROS - ACERO,,"1",,,,,,,,,TANQUE DE ALMACENAMIENTO DE AGUA ,0,"007-011",
54,51,MEMBRANA 400 GDP - 3012,"3012","1",,,,,,,,,"PARA SISTEMAS ÓSMOSIS INVERSA, INDUSTRIAL, AMERICANO o ANCHO",0,"004-029",MEM-400
55,50,"SISTEMA OSMOSIS INVERSA 400 GPD CON PANTALLA INDICADORA, 5 FILTROS + LUZ UV",,"1",,,,,,,,,,0,,
56,0,EXTENSIÓN ELECTRICA DE USO RUDO 4MTS CALIBRE 16 VOLTECK,,pieza,,,,,,,,,,0,,
57,13,TANQUE HIDRO WELL-MATE FIBRA DE VIDRIO 20 GL - 75 LITROS,"20141902","1",,,,,,,,,,0,"007-009",
58,56,BALASTRO LAMPARA UV DE 110V/ 14 WATTS ,"12W - 16W","1",,,,,,,,,HIDRO GREEN - CORONAWATER - EB-G16 - LÁMPARA,0,"005-003",
59,0,ANÁLISIS MICROBIOLÓGICOS,,servicio,,,,,,,,,,0,,
60,8,"MANGUERA 1/4"" FITTING BLANCA - PE ","608272","3",,,,,,,,,,0,"008-001",
61,30,CONTROL DE NIVEL - PLACA ,Gerber_PCB,pieza,,,,,,,,," CONTROLADORA PCB, ES LA PLACA DE COPNTROL DE NIVEL ECHA POR EL ELING CARLOS PARRA Y MANDADA A MAQUILAR A CHINA",0,,
62,0,KIT DETERMINAR DUREZA DEL AGUA KIT QUÍMICO DE PRUEBAS PARA DUREZA TOTAL DE AGUA,,pieza,,,,,,,,,,0,,
63,0,MEDIDOR DE PH PURIKOR CON ESTUCHE MEDIDOR DE CONDUCTIVIDAD Y TEMPER ATURA,,pieza,,,,,,,,,,0,,
64,18,"CODO CM 1/4"" A RME 1/4"" - PLASTICO","1003","1",,,,,,,,,"CM=CONEXION MANGUERA, RME=ROSCA MACHO CON EMPAQUE U O-RING",0,"001-005",
65,18,"CODO CM 1/4"" A TO 1/4"" - PLASTICO","1004","1",,,,,,,,,"HDF-PE0404 CODIGO HIDROGREEN
CM= CONEXION MANGUERA, TO=TUBO
CODO DE TUBING 1/4"" X 1/4"" CON VÁSTAGO",0,"001-013",
66,11,"VALVULA ESFERA CM 1/4"" A RM 1/4"" - PLASTICO","1001","1",,,,,,,,,"LLAVE, CM=CONEXION MANGUERA, RM=ROSCA MACHO o EXTERIOR.",0,"",
67,37,MANGA DE CUARZO PARA LAMPARA UV HIDROGREEN,R-PKCUARZO-1,"1",,,,,,,,,"LAMPARA UV, FOCO, PIEZA EN LA CUAL SE INSERTA LA LAMPARA UV PARA QUE NO SE MOJE LA LAMPARA",0,"",
68,47,SISTEMA DE DESINFECCIÓN UV DE 12W - CON LAMPARA UV,HG-UV-I GPM,"1",,,,,,,,,DESINFECCION CON LAMPARA UV IGPM 12 WATTS HIDROGREEN,0,"",
69,19,"TEE 2TO 1/4"" A RM 1/4""","3 VIAS",pieza,,,,,,,,,"ADAPTADOR TIPO ""T"" PARA OSMOSIS INVERSA DE 100G Y 400G (RM1/4"", T1/4"", T1/4""), TO=TUBO o TUBBIN",0,,
70,14,"TEE 2CM 1/4"" A RME 1/4"" - PLASTICO","3 VIAS",pieza,,,,,,,,,"2 CM=2 CONEXIONES MANGUERA UNA ENMEDIO Y OTRA EN LA PUNTA TIPO L O TIPO CODO, RM=ROSCA MACHO o EXTERIOR.",0,,
71,0,"DIVISOR DE DOS VÍAS DE TUBING 1/4"" X 1/4""",,pieza,,,,,,,,,,0,,
72,61,PANTALLA TDS PARA MAQUINA DE AGUA (PLACA DE CONTROL) PARA UN SENSOR,"607788","1",,,,,,,,,MICROCONTROLADOR LCD  ÓSMOSIS INVERSA DE 100 GPD - SINGLE-TDS,0,"002-015",
73,0,"CODO PVC 1"" ROSCA HEMBRA AMBOS LADOS",,pieza,,,,,,,,,,0,,
74,11,"VALVULA ESFERA CM 1/4"" A RH 1/2"" - PLASTICO","2 VIAS","1",,,,,,,,,"LLAVE CM=CONEXION MANGUERA, RH=ROSCA HEMBRA",0,"001-047",
75,11,VALVULA ESFERA CM 1/4 A RM 1/2 - PLÁSTICO,"2 VIAS",pieza,,,,,,,,,"LLAVE DE PASO, VÁLVULA DE BOLA, CM=CONEXIÓN MANGUERA, RM=ROSCA MACHO",1,,
76,16,"CONECTOR RM DE 1"" A RM 1/2"" - PVC","2 VIAS","1",,,,,,,,,"REDUCTOR PVC DE 1"" PULGADA A MEDIA "" (AMBAS ENTRADAS MACHOS)",0,"001-073",
77,16,"REDUCTOR CONECTOR RH 1""  A RH 1/2"" - PVC",UNION,"1",,,,,,,,,"RH= ROSCA HEMBRA o ROSCA INTERNA, REDUCCION BUSHING, PREGUNTAR A MANUEL",0,,
78,17,"TAPON RM 1/2"" PVC",VTR1/2,"1",,,,,,,,,RM=ROSCA MACHO,0,"001-076",
79,17,"TAPON RH 1/2"" PVC",,"1",,,,,,,,,RH=ROSCA HEMBRA o ROSCA INTERA,0,"001-074",
80,8,MANGUERA DE SILICON RESISTENTE A LA CORROSION TRANSPARENTE,,"1",,,,,,,,,"CORROSIÓN, SE USA LLEVAR EL OZONO A LOS DEPOSITOS DE LOS DISPENSADORES.",0,"008-007",
81,0,CONECTOR RÁPIDO DE CABLE FLEXIBLE Y DURO,,pieza,,,,,,,,,,1,,
82,4,CAPUCHON GRANDE PONCHA CABLE,CE5,"1",,,,,,,,,"tapas de crimpado de extremo cerrado, juego de terminales de Cable eléctrico, conectores AWG 12-10 16-14 22-16",0,"002-052",
83,6,PIJA 9 MM,,"1",,,,,,,,,,0,,
84,5,CLIP DE PLASTICO PARA TORNILLO 3M,,pieza,,,,,,,,,"Hecho en 3d, SIRVE PARA SOSTENER EL CONTROL DE NIVEL",0,,
85,5,BASE DE TEMPORIZADOR ( 2PIEZAS ),,pieza,,,,,,,,,,0,,
86,23,DIVISOR YEE DE  4/7 MM,"3 VIAS","1",,,,,,,,,"Divisores de manguera de riego de jardín, Conector de 3 vías, sistema de riego por goteo, junta de tubería de riego, 4/7mm 8/11mm, SE UTILIZA PARA DIVIDIR EN OZONO EN LOS DEPOSITOPS DEL DISPENSADOR DE DAGUA",0,"001-112",
87,0,ARILLO TAPA DEPOSITO,"3D",pieza,,,,,,,,,"RECUPERADOR, ABS PARTE SUPERIOR DE LA TAPA DEL DEPOSITODE AUGA DEL DISPENSADOR",0,,
88,38,SELLO TAPA DEPOSITO TPU,"3D","1",,,,,,,,,"GOMA, TPU, RECUPERADOR",0,,
92,18,"CODO TO 3/4"" CPVC",TIPO L,pieza,,,,,,,,,SR=SIN ROSCA,0,,
93,49,DESCALCIFICADOR AL-WS20,AL-WS20,"1",,,,,,,,,"ALTHY IPSE-Sistema de descalcificación de agua, dispositivo antilimescale",0,"006-009",
94,10,PRE FILTRO 40 MICRONES AL-PRE-1,AL-PRE-1,pieza,,,,,,,,,"FILTRO QUE SE INSTALA ANTES DEL OSMOSIS INVERSA PARA ATRAPAR PARTICULAS COMO ARENA, PÓLVO ETC",0,,
95,4,CABLE DE CORRIENTE ELECTRICA,"","",,,,,,,,,"",0,,
96,4,CABLE 2000,"","",,,,,,,,,"",1,,
99,18,"CODO TO 1/2"" CPVC",TIPO L,pieza,,,,,,,,,SR=SIN ROSCA,0,,
100,19,YEE 3CM 3/8 - PLASTICO,"3 VIAS","1",,,,,,,,,"FITTING, ACOPLAMIENTO RAPIDO, CONECTOR DE PALSTICO, CONECTOR RAPIDO, 3CM= LAS 3 ENTRADAS SON CONEXIÓN MANGUERA",0,"001-021",
101,19,"CODO 2CM 3/8"" - PLASTICO","2 VIAS","1",,,,,,,,,"CONECTOR RAPIDO, 2CM=CONEXIÓN MANGUERA, ENTRADA Y SALIDA",0,"001-019",
102,19,TEE 3CM 3/8 - PLASTICO,"3 VIAS","1",,,,,,,,,"CONECTOR RAPIDO, CM=CONEXIÓN MANGUERA, ",0,"001-032",
103,11,"VALVULA ESFERA CM 3/8"" A RH DE 1/2"" - PLASTICO","2 VIAS",pieza,,,,,,,,,"Válvula de bola, LLAVE DE PASO, CM=CONEXIÓN MANGUERA, RH=ROSCA HEMBRA o ROSCA INTERNA",0,,
104,11,"VALVULA ESFERA CM 3/8"" A RM DE 1/2"" - PLASTICO","2 VIAS","1",,,,,,,,,"VÁLVULA DE BOLA, LLAVE DE PASO, CM=CONEXIÓN MANGUERA, RM=ROSCA MACHO o ROSCA EXTERNA",0,"001-103",
105,18,"CODO CM 3/8""  A RM 1/2"" - PLASTICO","2 VIAS","1",,,,,,,,,"CONECTOR RAPIDO, CM=CONEXIÓN MANGUERA, RM=ROSCA MACHO o ROSCA EXTERNA",0,"001-017",
106,19,"CONECTOR 2CM 3/8"" LINEAL - PLÁSTICO","2 VIAS","1",,,,,,,,,"CM=CONEXIÓN MANGUERA, NIPLE RÁPIDO, EMPATE RAPIDO DE MANGUERA DE 3/8, CONECTOR, EMPATE, NIPLE",0,"001-054",
107,19,"CONECTOR CM 1/4"" A CM 3/8"" PASAMURO - PLASTICO",PASAMURO - ROSCADO 2 VIAS,"1",,,,,,,,,"EMPATE, NIPLE, CONVERTIDOR, REDUCTOR. CONECTOR CM 1/4"" A CM 3/8"" PASAMURO - PLASTICO",0,"001-061",
108,18,"CODO CM 1/4"" A RMRE 1/8"" - PLASTICO","2 VIAS","1",,,,,,,,,"RM= ROSCA MACHO, ROSCA EXTERIOR, RME=ROSCA MACHO CON EMPAQUE RESTRICTOR",0,"001-007",
109,11,"VALVULA ESFERA CM 1/4"" RH 1/4"" - PLASTICO","2 VIAS - TIPO L (TANQUE)","1",,,,,,,,,"LLAVE, CM=CONEXION MANGUERA, RH=ROSCA HEMBRA o INTERIOR",0,"001-048",
110,11,"VALVULA ESFERA CM 1/4"" A RM 1/2"" - PLASTICO","2 VIAS","1",,,,,,,,,"CM=CONEXION MANGUERA, RM=ROSCA MACHO o EXTERIOR",0,"001-045",
111,19,"CONECTOR 2CM 1/4"" LINEAL - PLASTICO","2 VIAS","1",,,,,,,,,"NIPLE, UNION, CONECTOR Conector Unión Tubing de 1/4"" x 1/4"" Hydrofit",0,"001-052",
112,14,"TEE 3CM 1/4"" - PLASTICO","3 VIAS","1",,,,,,,,,"3CM= LAS 3 ENTRADAS SON CONEXION MANGUERA",0,"001-024",
113,23,"YEE 3CM 1/4"" - PLASTICO","1009","1",,,,,,,,,"3CM= LAS 3 ENTRADAS SON CONEXION MANGUERA
HDF-SRT0404 CODIGO HIDROGREEN",0,"001-023",
114,18,"CODO CM 1/8"" A RM 1/2"" - PLASTICO","2 VIAS",pieza,,,,,,,,,"CM=CONEXION MANGUERA, RM=ROSCA MACHO",0,,
115,18,"CODO CM 1/4"" A RM 3/8"" - PLASTICO","1008","1",,,,,,,,,"CM=CONEXION MANGUERA, RM=ROSCA MACHO
HDF-FE0406 CODIGO HIDROGREEN",0,,
116,14,"TEE 2CM 1/4"" A RM 1/4"" - PLASTICO TIPO CODO",HDF-MRT0404,"1",,,,,,,,,"2CM= 2 CONEXION MANGUERA , RM=ROSCA MACHO o EXTERIOR, LINEAL=EN LINEA",0,"001-031",
117,18,"CODO 2CM 1/4"" - PLASTICO","2 VIAS","1",,,,,,,,,"2CM= 2 CONEXION MANGUERA",0,"001-009",
118,20,"LLAVE DE GANSO 1/4"" - GRANDE",LLAVE,"1",,,,,,,,,grande es por el alto de la llave,0,"012-001",
121,20,"LLAVE DE GANSO 1/4"" - PEQUEÑA CROMADO","607671","1",,,,,,,,,"SHNUOM 1/4""",0,"012-002",
122,18,"CODO CM 1/4"" A RM 1/8"" - PLASTICO","2 VIAS","1",,,,,,,,,"CM=CONEXION MANGUERA, RMR=ROSCA MACHO CON RESTRICTOR
HDF-ECV0402 CODIGO HIDROGREEN",0,"001-004",
123,5,"PINZA AHORCADOR DE MANGUERA 1/4"" - 3D",PINZA GRADUADORA,"1",,,,,,,,,PINZA GRADUADORA DE PRESION PARA OZONO,0,"009-019",
124,62,"SWITCH DE ALTA PRESION 2CM 1/4""","607784","1",,,,,,,,,"INTERRUPTOR DE ALTA PRESION, 2CM= 2 ENTRADAS DE CONEXION MANGUERA, Interruptor de alta presión para tanque de agua OD, sistema de ósmosis inversa con Terminal de crimpado, conexión de manguera normalmente cerrada, 1/4 "", 1 polo",0,"002-002","5001"
125,62,"SWITCH DE BAJA PRESION 2CM 1/4""","607785","1",,,,,,,,,"INTERRUPTOR, Interruptor de sensor, 2CM= ENTRADA Y SALIDA DE CONEXION MANGUERA",0,"002-003","5002"
126,16,"REDUCTOR DE FLUJO 2CM 1/4"" DE 300 CC",REDUCTOR DE FLUJO,"1",,,,,,,,,"REGULADOR, 2CM= ENTRADA Y SALIDA CONEXION MANGUERA, CC=CENTIMETROS CUBICOS",0,"001-088",
127,16,"REDUCTOR DE FLUJO 2CM 1/4"" DE 420 CC",REDUCTOR DE FLUJO,"1",,,,,,,,,"REGULADOR 2CM=ENTRADA Y SALIDA DE CONEXION MANGUERA, CC CENTIMETROS CUBICOS",0,"001-091",
128,16,"REDUCTOR DE FLUJO 2CM 1/4"" DE 450 CC",REDUCTOR DE FLUJO,"1",,,,,,,,,"REGULADOR, 2CM= ENTRADA Y SALIDA DE CONEXION MANGUERA, CC=CENTIMETRO CUBICO",0,"001-087",
129,16,"REDUCTOR DE FLUJO 2CM 1/4"" DE 550 CC",REDUCTOR DE FLUJO,"1",,,,,,,,,"REGULADOR, 2CM=ENTRADA Y SALIDA DE CONEXION MANGUERA, CC=CENTIMETRO CUBICO",0,"001-090",
130,16,"REDUCTOR DE FLUJO 2CM 1/4"" DE 1200 CC",REDUCTOR DE FLUJO,"1",,,,,,,,,"REGULADOR DE FLUJO, 2CM=ENTRADA Y SALIDA DE CONEXION MANGUERA, CC=CENTIMETRO CUBICO",0,"001-086",
131,16,"REDUCTOR DE FLUJO 2CM 1/4"" DE 1500 CC",REDUCTOR DE FLUJO,"1",,,,,,,,,"2CM=2 CONEXION ENTRADA Y SALIDA CONEXION MANGUERA",0,"001-092",
132,34,FUENTE DE ALIMENTACION 120V AC/ 24 VDC 2A,"10001","1",,,,,,,,,SE UTILIZA PARA BOMBA DE 100 GDP - GM148-240200-D,0,"002-030",
133,35,"ABRAZADERA DRENAJE OSMOSIS CM 1/4""","608271","1",,,,,,,,,"sirve para instalarse al drenaje y ahí conectar la manguera del drenaje de osmosis CM=CONEXION MANGUERA, DRAIN CLAMP - C5AC-40mm",0,,
134,16,"REDUCTOR CONECTOR RM 3/4"" A RH 1/2"" - PVC ",VRB3/4X1H87,"1",,,,,,,,,REDUCCION BUSHING 3/4X1/2,0,"001-078",
135,36,ESCUADRA GRIFO CUELLO DE GANSO,"","1",,,,,,,,,SIRVE PARA COLGAR EL GRIFO,0,"009-018",
136,38,O-RING PARA MANGA DE CUARZO - DOBLE,R-PK ORINGUV6W,"1",,,,,,,,,PURIFORK O-RING LAMPARA UV 6W OS/UF/FB,0,"005-002",
137,39,CINTILLA 3*60,"",pieza,,,,,,,,,"FLEJE, BRIDA DE NAILON",0,,
138,41,GRASA LUBRICANTE DE SILICONA,SG02,pieza,,,,,,,,,"MARCA : Edsrdus
F Edsrdus-lubricante de silicona con junta tórica SG02, Grado Alimenticio, limpio, dieléctrico y elimina la humeda
",0,,
139,5,CALCE CONTROLADOR ELECTRRONICO DE NIVEL DE AGUA,CALCE,"1",,,,,,,,,PIEZA QUE SIRVE PARA CALZAR EL CASE DE LOS SENSORES PARA QUE QUEDE BIEN PEGADO AL DEPOSITO LOS SENSORES,0,"009-017",
140,12,BOMBA DE AGUA MINI DIAFRAGMA DE 24V,"1.4 LPM","1",,,,,,,,,"BOMBA DE AGUA DE SUCCION DE AGUA AUTOCEBANTE, MINI DIAFRAGMA DE GRAN FLUJO 1.4 LPM= LITRO POR MINUTO, SIRVE PARA ALIMENTAR AL OSMOSIS CUANDO LA PRESION DEL AGUA ES BAJA",0,"003-002",
141,46,BASE PARA OZONO PARA DISPENSADOR GLACIAL,GLACIAL,"",,,,,,,,,HOLDER - idm,0,,
142,46,BASE CIRCULAR PARA TANQUE DE AGUA DE 8 LITROS,"","1",,,,,,,,,"",0,"007-015",
143,10,"FILTRO 1 MICRA (PP) DE 2.5"" X 10""","10""",pieza,,,,,,,,," CARTUCHO, TERMOFUSIONADO, DE POLIPROPILENO, POLYSPUN",0,"004-013","PP-1M-10"""
144,12,BOMBA DE AGUA 600GDP 24VDC,"600 GDP","1",,,,,,,,,"Bomba de refuerzo 600 gpd + adaptador de corriente, membrana RO, sistema de ósmosis inversa, piezas de purificador de agua para cocina",0,"003-003",
145,34,FUENTE DE ALIMENTACION 120V AC/ 24 VDC 5A,DMD-24050 ,"1",,,,,,,,,SE USA GENERALMENTE PARA BOMBA DE AGUA DE 600GDP,0,"002-058",
146,12,BOMBA DE AGUA 100 GPD 24 VDC,"607666","1",,,,,,,,,"BOMBA BOOSTER MODELO PURIKOR R-PK-BP01-100G, 
NOVEM: BOMBA BOOSTER PARA RO 100G CON ADAPTADOR",0,"003-006",
147,36,HOLDER PRE FILTRO AL PRE1,"3D",pieza,,,,,,,,,"PREILTRO, ALPRE1 AL PRE 1, HECHO EN IDM",0,,
148,36,HOLDER DESCALCIFICADOR AL-WS20,"3D",pieza,,,,,,,,,"ALWS20, - idm",0,"006-012",
149,4,CONECTOR XHP 2 JST - SENSOR DE NIVEL,XHP2JST,pieza,,,,,,,,,SON LOS CONECTORES QUE SE INSERTAR AL CONTROL DE NIVEL,1,,
150,19,"CONECTOR 2CM 1/4"" PASAMURO - PLASTICO","2 VIAS","1",,,,,,,,,"",0,"001-062",
151,4,CONECTOR RAPIDO  DE CABLE,"2 VIAS",pieza,,,,,,,,,"Conector rápido de cable flexible y duro, abrazadera de cable de empalme de bloque de terminales de prensado eléctrico, 1 / 2 / 3/4P, CH-1/2/3/4",0,,
152,52,PORTAMEMBRANA P/RO 100G,"607676","1",,,,,,,,,"PORTA MEMBRANA, PARA MEMBRANA DE 100GDP, 100 GDP, 200GDP, CARCASA DE MEMBRANA 1812 - 2012 3RM 1/8"" 4001",0,"004-025",""
153,52,"CARCASA DE MEMBRANA 3012 RM 1/4"" A 2RM 1/8""","400 A 600 GDP AMERICANO",pieza,,,,,,,,,"400GDP, 600GDP, 400 GDP, MODELO ANCHO MODELO AMERICANO",0,"004-023",
154,52,"CARCASA DE MEMBRANA 3013 -RE 1/4"" A 2RE 1/8""","400 A 800 GDP CHINO","1",,,,,,,,,"400GDP, 600GDP, 400 GDP, MODELO LARGO MODELO CHINO 800",0,"004-022",
155,51,MEMBRANA 600GDP - 3012,"3012","1",,,,,,,,,"PARA SISTEMAS ÓSMOSIS INVERSA, INDUSTRIAL AMERICANO o ANCHO",0,"004-027",MEM-600
156,51,MEMBRANA 600GDP - 3013,"3013","1",,,,,,,,,"PARA SISTEMAS ÓSMOSIS INVERSA, INDUSTRIAL, CHINO",0,"004-028",MEM-600
157,51,MEMBRANA 400 GDP - 3013,"3013",pieza,,,,,,,,,CHINO o LARGA,0,"004-030",MEM-400
